Post Office Name,Municipality,Address,Zip Code,Province,Building
Cagayan de Oro City,Cagayan de Oro City,"Rizal/Chavez St., CDeO",9000,Metro Cagayan De Oro,Rizal/Chavez St.
Capitol University,Cagayan de Oro City,"Corrales Extn., CDeO",9000,Metro Cagayan De Oro,Corrales Extn.
Mindanao Uni. of Science & Technology,Cagayan de Oro City,"Claro M. Recto Ave., CDeO",9000,Metro Cagayan De Oro,Claro M. Recto Ave.
G S I S,Cagayan de Oro City,"Carmen, CDeO",9000,Metro Cagayan De Oro,Carmen
Carmen,Cagayan de Oro City,"Max Suniel St., Carmen, CDeO",9000,Metro Cagayan De Oro,Max Suniel St.
Lim Ket Kai & Sons,Cagayan de Oro City,Lim Ket Kai Center P.O,9000,Metro Cagayan De Oro,Lim Ket Kai Center PO
Lumbia,Cagayan de Oro City,"Lumbia, CDeO",9000,Metro Cagayan De Oro,Lumbia
Macabalan,Cagayan de Oro City,"Piaping Itum, CDeO",9000,Metro Cagayan De Oro,Piaping Itum
Talakag,Talakag,"Talakag, Bukidnon",8708,Metro Cagayan De Oro,Talakag
Bugo,Cagayan de Oro City,"Brgy Hall, Bugo, CDeO",9000,Metro Cagayan De Oro,Brgy Hall
Surigao City,Surigao City,Surigao City,8400,Surigao Del Norte,
Surigao City Hall,Surigao City,Surigao City,8400,Surigao Del Norte,
Bacuag,Bacuag,Bacuag,8408,Surigao Del Norte,
Claver,Claver,Claver,8410,Surigao Del Norte,
Dapa,Dapa,Dapa,8417,Surigao Del Norte,
San Jose/Basilisa,San Jose,San Jose,8427,Surigao Del Norte,
Sison,Sison,Sison,8404,Surigao Del Norte,
Tubod,Tubod,Tubod,8406,Surigao Del Norte,
Burgos,Burgos,Burgos,8424,Surigao Del Norte,
Del Carmen,Del Carmen,Del Carmen,8418,Surigao Del Norte,
Mainit,Mainit,Mainit,8407,Surigao Del Norte,
Placer,Placer,Placer,8405,Surigao Del Norte,
Pilar,Pilar,Pilar,8420,Surigao Del Norte,
San Benito,San Benito,San Benito,8423,Surigao Del Norte,
Sta. Monica,Sta. Monica,Sta. Monica,8422,Surigao Del Norte,
Dinagat,Dinagat,Dinagat,8412,Surigao Del Norte,
Ampatuan,Ampatuan,"Poblacion Ampatuan, Maguindanao",9609,Sultan Kudarat,Poblacion Ampatuan
Babumbayan,Babumbayan,"Poblacion Babumbayan, Maguindanao",9810,Sultan Kudarat,Poblacion Babumbayan
Buluan,Buluan,"Poblacion Buluan, Maguindanao",9616,Sultan Kudarat,Poblacion Buluan
Brgy. Kapingkong,Lambayong,"Brgy. Kapingkong, Lambayong, Sultan Kudarat",9605,Sultan Kudarat,Brgy. Kapingkong
Columbio,Columbio,"Poblacion Columbio, Sultan Kudarat",9810,Sultan Kudarat,
Datu Paglas,Datu Paglas,"Poblacion Datu Paglas, Maguindanao",9617,Sultan Kudarat,Poblacion Datu Paglas
Esperanza,Esperanza,"Poblacion Esperanza, Sultan Kudarat",9806,Sultan Kudarat,
Isulan,Isulan,"Poblacion Isulan, Sultan Kudarat",9805,Sultan Kudarat,
Lambayong,Lambayong,Poblacion Lambayong. Sultan Kudarat,9605,Sultan Kudarat,
Lutayan,Lutayan,"Poblacion Lutayan, Sultan Kudarat",9803,Sultan Kudarat,
President Quirino,President Quirino,"Poblacion President Quirino, Sultan Kudarat",9804,Sultan Kudarat,
Tacurong City,Tacurong City,Poblacion Tacurong City,9800,Sultan Kudarat,
WMSU,Zamboanga City,"San Jose Rd, Baliwasan Zambo. City",7000,Basilan,San Jose Rd
Isabela City,Isabela City,"Isabela City, Basilan Prov.",7300,Basilan,
Lamitan City,Lamitan City,"Lamitan City, Basilan Prov.",7302,Basilan,
Lantawan,Lantawan,,7301,Basilan,
Aras-asan,Cagwait,"Brgy. Bldg.,Aras-asan, Cagwait, Surigao del Sur",8304,Surigao Del Sur,Brgy. Bldg.
Barobo,Barobo,"Poblacion Barobo, Surigao del Sur",8309,Surigao Del Sur,
Bayabas,Bayabas,"Municipal Bldg.,Bayabas, Surigao del Sur",8303,Surigao Del Sur,Municipal Bldg.
Bislig City,Bislig City,"Mangagoy, Bislig City, Surigao del Sur",8311,Surigao Del Sur,Mangagoy
Cagwait,Cagwait,"Municipal Bldg.,Cagwait, Surigao del Sur",8304,Surigao Del Sur,Municipal Bldg.
Cantilan,Cantilan,"Municipal Bldg.,Cantillan, Surigao del Sur",8317,Surigao Del Sur,Municipal Bldg.
Carmen,Carmen,"Municipal Bldg.,Carmen, Surigao del Sur",8315,Surigao Del Sur,Municipal Bldg.
Carrascal,Carrascal,"Municipal Bldg.,Carrascal, Surigao del Sur",8318,Surigao Del Sur,Municipal Bldg.
Cortes,Cortes,"Municipal Bldg.,Cortes, Surigao del Sur",8313,Surigao Del Sur,Municipal Bldg.
Hinatuan,Hinatuan,"Cor. Bandola St.,Nazareno St.,Hinatuan, Surigao del Sur",8310,Surigao Del Sur,Cor. Bandola St.
Lanuza,Lanuza,"Municipal Bldg.,Lanuza, Surigao del Sur",8314,Surigao Del Sur,Municipal Bldg.
Lianga,Lianga,"Municipal Bldg.,Lianga, Surigao del Sur",8307,Surigao Del Sur,Municipal Bldg.
Lingig,Lingig,"Municipal Bldg.,Lingig, Surigao del Sur",8312,Surigao Del Sur,Municipal Bldg.
Madrid,Madrid,"Municipal Bldg.,Madrid, Surigao del Sur",8316,Surigao Del Sur,Municipal Bldg.
Marihatag,Marihatag,"Municipal Bldg.,Marihatag, Surigao del Sur",8306,Surigao Del Sur,Municipal Bldg.
San Agustin,San Agustin,"Municipal Bldg.,San Agustin, Surigao del Sur",8305,Surigao Del Sur,Municipal Bldg.
San Miguel,San Miguel,"Municipal Bldg.,San Miguel, Surigao del Sur",8301,Surigao Del Sur,Municipal Bldg.
Tagbina,Tagbina,"Municipal Bldg.,Tagbina, Surigao del Sur",8308,Surigao Del Sur,Municipal Bldg.
Tago,Tago,"Municipal Bldg.,Tago, Surigao del Sur",8302,Surigao Del Sur,Municipal Bldg.
Tandag City,Tandag City,"Telaje, Tandag, Surigao del Sur",8300,Surigao Del Sur,Telaje
Tandag City Hall,Tandag City,"City Hall Extension Bldg., Magsaysay St., Tandag City",8300,Surigao Del Sur,City Hall Extension Bldg.
Butuan City,Butuan City,Butuan City,8600,Agusan Del Norte,
BUENAVISTA,BUENAVISTA,BUENAVISTA,8601,Agusan Del Norte,
Cabadbaran City,Cabadbaran City,Cabadbaran City,8605,Agusan Del Norte,
Fr. S. Urios University,Butuan City,Butuan City,8600,Agusan Del Norte,
Nasipit,Nasipit,Nasipit,8602,Agusan Del Norte,
Carmen,Carmen,Carmen,8603,Agusan Del Norte,
Marawi City,Marawi City,Marawi City,9700,Lanao Del Sur,
Bacolod Kalawi,Bacolod Kalawi,Bacolod Kalawi,0,Lanao Del Sur,
Ditsaa-n Ramain,Ditsaa-n Ramain,Ditsaa-n Ramain,9713,Lanao Del Sur,
Gannasi,Gannasi,Gannasi,9311,Lanao Del Sur,
Lumbatan,Lumbatan,Lumbatan,9307,Lanao Del Sur,
Malabang,Malabang,Malabang,9300,Lanao Del Sur,
Tamparan,Tamparan,Tamparan,9704,Lanao Del Sur,
Taraka,Taraka,Taraka,9712,Lanao Del Sur,
